CustomerID,Name,Region,JoinDate,Loyalty Points,CustomerSegment,membership_status
1000,Robert Gomez,West,2/25/2024,23,VIP,Gold
1001,John Silva,East,12/1/2020,26,VIP,Silver
1002,Mark Marshall,Central,8/8/2020,321,VIP,Bronze
1003,David Brennan,North,5/21/2020,67,VIP,Gold
1004,Kerry Collins,North,9/12/2023,90,VIP,
1005,Jessica Mora,South,8/5/2021,414,VIP,Gold
1006,Hannah Ray,West,7/3/2021,34,Regular,Silver
1007,David Kim,West,5/20/2020,588,VIP,Silver
1008,William Ramirez,EAST,9/15/2023,422,Regular,
1009,Zachary Bell Jr.,East,4/20/2023,10,Regular,Platinum
1010,Mike Davis,East,3/23/2022,24,VIP,Gold
1011,Amanda Myers,West,9/5/2021,688,Regular,Gold
1012,Tara Miller,North,8/10/2020,424,Regular,Silver
1013,Alyssa Morgan,North,7/22/2022,24,VIP,Bronze
1014,Cindy Woods,East,4/2/2024,24,Regular,Gold
1015,Jennifer Rodgers,North,2/12/2023,116,Regular,
1016,Andrea Roberts,EAST,5/16/2021,492,Regular,Gold
1017,Brittney Burnett,North,7/3/2020,422,Regular,Silver
1018,Edwin Garrison,south-west,8/31/2020,344,VIP,Silver
1019,Michelle Torres,Central,11/18/2020,33,Regular,
1020,Michelle Brewer,East,7/14/2021,876,Regular,Platinum
1021,Aaron Burnett,South,2/13/2024,33,Regular,Gold
1022,Austin Gutierrez,EAST,11/25/2021,691,Regular,Gold
1023,Dustin Medina,east,6/14/2021,33,Regular,Silver
1024,Andres Avila,Central,9/19/2022,423,Regular,Bronze
1025,Garrett Lewis,South,8/4/2023,31,Regular,Gold
1026,Gary Walls,North,10/5/2023,418,VIP,
1027,Anthony Schroeder,east,10/4/2020,11,Regular,Gold
1028,Haley Wagner,West,11/3/2023,678,Regular,Silver
1029,Gina Powers,West,10/26/2022,120,Regular,Silver
1030,Alice Robinson,EAST,8/6/2021,33,VIP,
1031,Jessica Frazier,West,10/20/2021,576,Regular,Platinum
1032,Terri Long,east,10/23/2022,443,Regular,Gold
1033,Paul Perkins,east,3/16/2022,459,Regular,Gold
